"","t1","t2","relative_nma","relative_nma_lower","relative_nma_upper","absolute_nma","absolute_nma_lower","absolute_nma_upper","relative_direct","relative_direct_lower","relative_direct_upper","absolute_direct","absolute_direct_lower","absolute_direct_upper"
"1","hydroxychloroquine","iota-carrageenan",2.5092903899363,0.343008517418707,23.3360645809427,10.6691876764308,-51.3562970591706,28.6425914105901,NA,NA,NA,NA,NA,NA
"2","hydroxychloroquine","iota-carrageenan, ivermectin",3.3052448588734e-06,2.72662163842641e-36,4497260016495576064,-589.34525060337,-970,30,NA,NA,NA,NA,NA,NA
"3","hydroxychloroquine","povidone-iodine",0.292292577680859,0.060810062625218,0.941764533584249,-79.6590098530504,-267.48241387284,-0.119009479475512,0.335664335664336,0.0635533471723382,1.77278812807502,NA,NA,NA
"4","hydroxychloroquine","standard care/placebo",1.58407398499448,0.895834135296528,2.85765111806316,10.0438888533586,-3.43734304585195,19.2474516121919,1.3900729977281,0.591965787882014,3.16291285774744,8.38027263603812,-8.92260679315352,44.7256210531957
"5","hydroxychloroquine","vitamin C",0.122456428252982,0.026252343965688,0.371576691022046,-187.424907117131,-462.9938058113,-43.1907339093265,0.142271521581866,0.0279543621475251,0.724054951523669,NA,NA,NA
"6","hydroxychloroquine","vitamin C, zinc",0.079659020285898,0.0175974724156234,0.236927758682122,-260.555339421601,-563.048788111659,-80.0174929314334,0.0937698664971392,0.0186839338305723,0.470590973601453,NA,NA,NA
"7","iota-carrageenan","iota-carrageenan, ivermectin",1.30409662275516e-06,1.05449644301822e-36,1810256098417371904,-600.014438279801,-998.052188379089,48.5309315640825,NA,NA,NA,NA,NA,NA
"8","iota-carrageenan","povidone-iodine",0.111916748617329,0.00767336528789549,1.16183424272828,-90.3281975294813,-281.263476748768,11.4150466529616,NA,NA,NA,NA,NA,NA
"9","iota-carrageenan","standard care/placebo",0.637628151621773,0.0720784622387661,4.22069581699655,-0.62529882307225,-22.9223919439174,58.5626630225358,0.670103092783505,0.0772739767559196,5.81098057614603,-7.20137135888192,-20.4124747427428,94.2079437284551
"10","iota-carrageenan","vitamin C",0.0464211548574313,0.00327971090234357,0.477113915521034,-198.094094793562,-476.631278357685,-43.6409573999016,NA,NA,NA,NA,NA,NA
"11","iota-carrageenan","vitamin C, zinc",0.0305008721712175,0.00215492361829761,0.310366941265485,-271.224527098032,-576.652707188666,-82.8093453834438,NA,NA,NA,NA,NA,NA
"12","iota-carrageenan, ivermectin","povidone-iodine",82454.3429217847,6.12085541151906e-20,1.10464249115996e+35,509.68624075032,-221.036263251279,965.196639369176,NA,NA,NA,NA,NA,NA
"13","iota-carrageenan, ivermectin","standard care/placebo",484077.356302953,3.59346445672537e-19,5.80965823299442e+35,599.389139456729,-28.3137302404795,988.163721760316,1,0.0166316733862815,60.126534060485,0,-21.7838850599814,554.584172580727
"14","iota-carrageenan, ivermectin","vitamin C",35242.2173687916,2.51356448650563e-20,4.44645361588749e+34,401.920343486239,-399.598890662929,916.667671771558,NA,NA,NA,NA,NA,NA
"15","iota-carrageenan, ivermectin","vitamin C, zinc",22697.2715452306,1.70182611508308e-20,2.83518400037028e+34,328.789911181769,-500.130415603094,876.428653109698,NA,NA,NA,NA,NA,NA
"16","povidone-iodine","standard care/placebo",5.4739473917272,1.46228458943422,28.5027336437673,89.702898706409,8.50314105690485,278.190973503458,NA,NA,NA,NA,NA,NA
"17","povidone-iodine","vitamin C",0.418951549247639,0.216535667316007,0.778800783071405,-107.765897264081,-247.019013127067,-23.4125159982063,0.423850574712644,0.116160411267795,1.54658302048673,NA,NA,NA
"18","povidone-iodine","vitamin C, zinc",0.275270783089752,0.14660696213035,0.491644197460965,-180.896329568551,-342.638007692486,-67.4141291352115,0.279356060606061,0.0776380376864045,1.00519115347727,NA,NA,NA
"19","standard care/placebo","vitamin C",0.0765355454239115,0.015146284873047,0.272531793034013,-197.46879597049,-473.195536035258,-52.0354628668358,NA,NA,NA,NA,NA,NA
"20","standard care/placebo","vitamin C, zinc",0.0502874367235919,0.0100518357446336,0.173773943450445,-270.59922827496,-573.496009332693,-89.1413662840903,NA,NA,NA,NA,NA,NA
"21","vitamin C, zinc","vitamin C",1.52196155561863,0.941764533584249,2.5092903899363,73.1304323044699,-9.68748299194426,178.597810667221,1.51724137931035,0.437909471178318,5.25664374478358,NA,NA,NA
