study,t1,t2,subgroups,mean1,sd1,n1,mean2,sd2,n2
ARCHITECTS_NCT04412772,tocilizumab,1_standard care/placebo,Steroids,7.64,2.76,9,9.11,6.2,10
CORIMUNO-TOCI-ICU_NCT04331808,tocilizumab,1_standard care/placebo,No steroids,17.9,9.61,30,20.75,9.33,28
CORIMUNO-TOCI-ICU_NCT04331808,tocilizumab,1_standard care/placebo,Steroids,20,9.36,6,21,12.12,3
COV-AID_NCT04330638,tocilizumab,1_standard care/placebo,No steroids,18.33,12.66,3,21,12.12,3
COV-AID_NCT04330638,tocilizumab,1_standard care/placebo,Steroids,20.8,9.88,5,21.5,8.71,6
COVACTA_NCT04320615,tocilizumab,1_standard care/placebo,No steroids,20.33,9.11,86,20.41,8.73,39
COVACTA_NCT04320615,tocilizumab,1_standard care/placebo,Steroids,22,9.06,27,22.81,9.32,16
HMO-020-0224_NCT04377750,tocilizumab,1_standard care/placebo,No steroids,21.75,12.5,4,28,NA,1
HMO-020-0224_NCT04377750,tocilizumab,1_standard care/placebo,Steroids,24.75,5.74,16,23,8.59,11
RECOVERY_NCT04381936,tocilizumab,1_standard care/placebo,No steroids,22.4,7.9,84,23.35,6.73,72
RECOVERY_NCT04381936,tocilizumab,1_standard care/placebo,Steroids,23.1,8.12,184,23.61,7.69,221
TOCIBRAS_NCT04403685,tocilizumab,1_standard care/placebo,No steroids,21.52,9.82,5,18.82,9.65,5
TOCIBRAS_NCT04403685,tocilizumab,1_standard care/placebo,Steroids,18.91,10.75,6,19.48,8.77,5
